x,y
1,0
0.999752668964428,-3.64327041374305e-05
0.999483220515085,-7.61667371497391e-05
0.999189680772529,-0.000119434747654176
0.998869911073565,-0.000166544633298459
0.998521588912899,-0.000217851260495688
0.998142183559206,-0.000273700159064378
0.997728948818779,-0.000334496110725783
0.99727890037722,-0.000400676058527942
0.996788793617856,-0.000472694719898361
0.996255107514892,-0.000551061591161361
0.995674020559316,-0.000636334345501042
0.995041383792509,-0.000729103553215192
0.994352691680448,-0.000829974084225668
0.993603071357225,-0.000939683911182879
0.99278723324962,-0.00105897155415533
0.991899440836581,-0.00118858616516596
0.990933508869371,-0.00132950564757758
0.989882708213665,-0.00148252732110861
0.988739799478027,-0.0016487532319729
0.987496945266414,-0.0018292558434776
0.986145668774298,-0.00202506979564137
0.984676886283226,-0.00223770632697954
0.983080700486435,-0.0024680213428875
0.981346629563199,-0.00271810487604701
0.979463163593691,-0.00298851188851256
0.977418255706659,-0.00328198076335613
0.97519862687972,-0.00359889656562487
0.972790474400887,-0.00394252582851226
0.970178572818332,-0.00431300291611483
0.967347240119275,-0.00471436099157803
0.964279117398545,-0.00514615793400545
0.960956584223913,-0.00561365272686439
0.957359953527125,-0.00611511000730631
0.953469669339894,-0.0066575096844312
0.949263697210236,-0.00723781253443125
0.94472049526611,-0.00786419354950659
0.939815886065285,-0.00853311227808279
0.934526327185694,-0.00925270457395938
0.928825925966065,-0.0100202554888753
0.92268920776218,-0.0108418645842477
0.916089359978916,-0.011718233974733
0.90899904549023,-0.0126495757605127
0.901391890147106,-0.0136450622545503
0.893238727267249,-0.0146924118266732
0.884515086872493,-0.0158130445393318
0.875191495019792,-0.0169842019337561
0.865245702072665,-0.0182317244161081
0.854650434519489,-0.0195294942274736
0.843386428066195,-0.0209000058987266
0.831432430409558,-0.0223295687820683
0.818771899537386,-0.0238178085620046
0.805392432750654,-0.0253692568178395
0.791284417999901,-0.0269764267428175
0.776442673033653,-0.0286282496831961
0.760869069399666,-0.0303288426130924
0.74457012082417,-0.0320713942509975
0.727558641761424,-0.0338484109000925
0.709854141624366,-0.0356516692699072
0.691483119323139,-0.0374721938463254
0.672479249987529,-0.0393002684590409
0.652883420356128,-0.0411254357206707
0.632743624669013,-0.0429365592562832
0.612114692556524,-0.0447218934854099
0.591057850503262,-0.0464691898435045
0.569640115051852,-0.0481658088425298
0.547933529994579,-0.0497988769157007
0.526013866865445,-0.0513497449777123
0.50396031096388,-0.0528033882508764
0.481854577484518,-0.0541535209521295
0.459778744014917,-0.0553882684896203
0.437814489326347,-0.0564965302181021
0.416041905277639,-0.0574678696495565
0.394538163850011,-0.0582866839164694
0.373376985272716,-0.0589440390762683
0.35262775077796,-0.0594458228422543
0.332353911064333,-0.0597907632559233
0.312612609776656,-0.0599647491225869
0.293454634406559,-0.0599675833956704
0.274923709453373,-0.0598151205257385
0.257056268853622,-0.0595094177903501
0.239881774737514,-0.0590496983527971
0.223422991339676,-0.0584338357412982
0.207695114163138,-0.057683746102219
0.192707255741073,-0.0568081794183508
0.178462487384826,-0.0558176488089245
0.16495821128851,-0.0547247951677911
0.152188279820917,-0.0535277790488368
0.140142249933636,-0.052230505501385
0.128803038149447,-0.0508630358776605
0.118149485540873,-0.0494529181916484
0.108161321433564,-0.0479974850475114
0.0988237402880532,-0.0464553923804674
0.0901036712491731,-0.044890663817351
0.0819751556264558,-0.0433076638665791
0.0744115970730117,-0.0417106872016183
0.0673890407673086,-0.0400917476205484
0.0608829703948607,-0.0384492300951573
0.0548613211144324,-0.0368102498240941
0.0492977476221528,-0.0351778053326392
0.0441666089487071,-0.033554532533343
0.0394430588753779,-0.0319429104343347
0.0351031910222944,-0.0303451724112554
0.0311262933520943,-0.028758138916058
0.0274908542927692,-0.0271843127316434
0.0241730576820963,-0.025632997775823
0.0211532055130807,-0.0241056104570514
0.0184126635056238,-0.022603645703209
0.0159339573344213,-0.0211284849186491
0.0136999735864512,-0.0196826340320948
0.0116951697824101,-0.0182675862917524
0.00990413812378532,-0.0168859854522631
0.00831920324452182,-0.0155325122402013
0.00692157202252858,-0.0142165949159295
0.0056952599526974,-0.0129436410834165
0.00463072415619428,-0.0117131769648969
0.00371852640753029,-0.010525729248958
0.00293913732923497,-0.00938981542629964
0.00228699568558887,-0.00830328468377691
0.00174517697498717,-0.00727162672098556
0.00130050321068391,-0.00629674876307767
0.000945553875748914,-0.00537786808579092
0.000665009222786306,-0.00451708940622738
0.000447612916054681,-0.00371397141382135
0.000284639822792087,-0.00296697675737793
0.000167830066843192,-0.00227433321993683
8.56200075807052e-05,-0.00163428916116825
3.60327774545668e-05,-0.0010436210392866
8.42035110359365e-06,-0.000499915278297092
0,0
8.42035110359861e-06,0.000499915278297212
3.60327774545948e-05,0.00104362103928702
8.56200075807233e-05,0.00163428916116844
0.000167830066843239,0.00227433321993714
0.000284639822792134,0.00296697675737816
0.000447612916054756,0.00371397141382168
0.000665009425442672,0.00451709009032189
0.000945553875749037,0.00537786808579126
0.00130050321068406,0.00629674876307804
0.0017451769749873,0.00727162672098582
0.00228699568558886,0.0083032846837769
0.00293913732923496,0.00938981542629961
0.00371852640753042,0.0105257292489582
0.00463072415619431,0.011713176964897
0.00569525995269748,0.0129436410834166
0.00692157202252838,0.0142165949159293
0.00831920324452215,0.0155325122402016
0.0099041381237856,0.0168859854522633
0.0116951697824096,0.0182675862917521
0.0136999735864507,0.0196826340320945
0.0159339573344209,0.0211284849186489
0.0184126635056237,0.022603645703209
0.0211532055130801,0.0241056104570512
0.0241730576820954,0.0256329977758226
0.0274908542927684,0.0271843127316431
0.0311262933520928,0.0287581389160574
0.035103191022293,0.0303451724112548
0.0394430588753764,0.0319429104343342
0.0441666089487054,0.0335545325333424
0.0492977476221505,0.0351778053326385
0.0548613211144301,0.0368102498240934
0.0608829703948579,0.0384492300951565
0.0673890407673058,0.0400917476205478
0.0744115970730081,0.0417106872016175
0.0819751556264516,0.0433076638665782
0.090103671249168,0.04489066381735
0.0988237402880479,0.0464553923804665
0.108161321433558,0.0479974850475106
0.118149485540866,0.0494529181916474
0.12880303814944,0.0508630358776597
0.140142249933628,0.0522305055013841
0.152188276636399,0.0535277787503295
0.164958216757848,0.0547247956804708
0.178462487382403,0.0558176488087307
0.19270725674356,0.0568081794860374
0.207695107487917,0.0576837457271312
0.223422990516528,0.0584338357035901
0.239881774738611,0.0590496983528368
0.257056271457873,0.0595094178402213
0.274923713570382,0.0598151205729609
0.293454634439721,0.0599675833958125
0.312612609776418,0.0599647491225875
0.332353911064314,0.0597907632559236
0.35262775077794,0.0594458228422547
0.373376985272696,0.0589440390762689
0.394538163849989,0.0582866839164701
0.416041905277616,0.0574678696495575
0.437814489326323,0.0564965302181033
0.459778744014893,0.0553882684896216
0.481854578403173,0.0541535208985865
0.503960310963856,0.0528033882508779
0.52601386686288,0.0513497449778837
0.547933529998357,0.0497988769154193
0.569640115112709,0.0481658088377789
0.591057850493532,0.0464691898442975
0.612114697189203,0.0447218930925388
0.632743624672957,0.0429365592559362
0.652883420357236,0.0411254357205698
0.672479249988692,0.0393002684589315
0.691483119325407,0.0374721938461053
0.709854133231666,0.0356516701083184
0.727558641761436,0.0338484109000913
0.744570120824206,0.0320713942509937
0.760869069400212,0.0303288426130333
0.77644267303239,0.0286282496833365
0.791284418001283,0.0269764267426601
0.805392433499224,0.0253692567325632
0.818771899537367,0.0238178085620069
0.831432430409362,0.0223295687820918
0.843386428066178,0.0209000058987287
0.854650434519358,0.0195294942274897
0.865245702072892,0.0182317244160803
0.87519149596401,0.016984201815314
0.884515087554269,0.0158130444517513
0.893238727267236,0.014692411826675
0.901391890147094,0.0136450622545519
0.908999045490218,0.0126495757605142
0.916089359978905,0.0117182339747345
0.922689207762169,0.0108418645842491
0.928825925966054,0.0100202554888766
0.934526327185685,0.00925270457396069
0.939815886065275,0.00853311227808403
0.944720495266101,0.00786419354950774
0.949263697210228,0.00723781253443233
0.953469669339887,0.00665750968443225
0.957359953527118,0.00611511000730729
0.960956584223906,0.00561365272686525
0.964279117398539,0.00514615793400627
0.96734724011927,0.00471436099157878
0.970178572818327,0.00431300291611554
0.972790474400882,0.00394252582851286
0.975198626879715,0.00359889656562548
0.977418255706654,0.00328198076335672
0.979463163593687,0.00298851188851311
0.981346629563195,0.00271810487604749
0.983080700486432,0.00246802134288793
0.984676886283223,0.00223770632697999
0.986145668774296,0.00202506979564173
0.987496945266412,0.00182925584347801
0.988739799478025,0.0016487532319732
0.989882708213663,0.00148252732110897
0.990933508869369,0.00132950564757791
0.99189944083658,0.00118858616516617
0.992787233249618,0.00105897155415562
0.993603071357224,0.000939683911183034
0.994352691680446,0.000829974084225893
0.995041383792508,0.000729103553215302
0.995674020559316,0.000636334345501096
0.996255107514892,0.000551061591161355
0.996788793617855,0.000472694719898401
0.99727890037722,0.000400676058527964
0.997728948818779,0.000334496110725813
0.998142183559206,0.000273700159064375
0.998521588912899,0.000217851260495662
0.998869911073565,0.000166544633298538
0.999189680772529,0.000119434747654198
0.999483214347475,7.61676460837546e-05
0.999752668964428,3.6432704137441e-05
